rxn,K_app^max
P5CR,32475.28949860383
PANTS,60.43478862677337
PE160abcpp,82723.88886850313
PPND,55855.18753991872
MOHMT,25.53993680245925
DHDPS,34868.846567465705
GLUTRS,152.35441801349924
SDPDS,452448.48946202296
GLUPRT,63.75722366092106
KDOPP,12766.356276563682
GMPS2,6738.694438899297
PRFGS,10.382456262442473
ADNK1,6744.804912914924
DXPS,3664.796802163595
UPP3S,2698.5956683219893
PSP_L,706932.5361527809
UPPDC1,51.96774459648079
DHQTi,195733.15410674282
RBFSb,80.6397848361315
RBFSa,12.070307249342243
THRS,8761.930816634616
DMPPS,133.9071737989174
UAGCVT,5515.463963007861
CTPS2,17237.080585560278
CS,30810.12699311363
TMPK,144.1357472455876
ACOAD5f_b,563589.8829101332
OPHHX,210.7876756040535
GLUDy_b,133545.23446380973
METS,585.6972104455748
KDOCT2,7668.084427107662
U23GAAT,4685.66153268754
MOCOS,47.80193382007098
UAGDP,26862.755214303703
METAT,19.793134341783187
RHCCE,8.678666946154735
BMOCOS,47.80193382007098
DRPA,720385.3799861796
ACOAD2f_b,563589.8829101332
TYRL,20.628520288491856
PE161abcpp,37917.666381636605
PPBNGS,101.49304420728272
TMPPP,19.55216524887938
UAAGDS,17295.708819409952
IPMD,12410.57824899925
DHDPRy,30277.205745719948
ASAD_b,8374.752142204356
PGCD,8285.616375517851
KDOPS,1405.7628175686261
G5SD,45830.85959216653
G3PD2_b,65098.20906907106
NI2tpp,211.47596313455966
ASPTA_b,29633.785228271685
SDPTA_b,14637.099914999788
I4FE4SR,6.261205500000001
FACOAE120,44250.424642239675
HSK,125089.5284075817
OCTDPS,62.98399390108172
PRATPP,22112.24188894819
PGI_b,86597.30287281249
ANPRT,16009.703872543245
ICYSDS,39.94335080861926
GND,28495.53562844061
ILETA_b,13219.258435571572
ACOAD4f_b,563589.8829101332
K2L4Aabcpp,35029.7301576981
PSSA161,15999.375905765783
CHORS,81936.23127775351
DMATT,186.87015850501356
PGK_b,60582.56325473345
ACODA,44514.54473665093
GTPCI,26.831767814497887
PPPGO3,321.1889513432034
DHAD1,994211.9269517434
DHAD2,330387.32578344084
KARA1_b,5364.660196409722
VALTA_b,19254.146188894527
PPNDH,35877.0599620268
PGL,215028.06938396956
FADRx,874598.5217767073
PRAIi,6812.384311994009
5DOAN,27.221706236554056
PRAIS,13.431907692291816
MPTAT,181.33987160463727
PSSA160,13574.39006103302
MTHFR2,7364.452319938624
IGPS,6812.384311994009
ACOAD3f_b,563589.8829101332
SHSL1,18533.2411809829
DB4PS,411.31529316076114
HISTD,10323.141523498552
NAMNPP,459.07427934132636
UAPGR,82395.4722537408
ATPPRT,3521.397152788087
HISTP,6436.894932989795
DHQS,99211.19556560261
ACGS,76999.25209380989
ACGK,27735.07005431974
FACOAE161,85532.77752470743
ALDD2y,1349905.092716255
NADK,643.8182118852553
HSST,18415.95003340794
PMPK,18.93203021597097
IPPS,15658.998232502307
PSERT,9533.38398506435
ACOAD6f_b,440343.7913972687
AHCYSNS,54.44341247310811
GLU5K,60567.67356991669
AGPR_b,80460.89263994238
ACOAD1f_b,563589.8829101332
UAMAGS,31839.172878575555
G1PACT,26862.755214303703
THDPS,7305.189557431259
DHPPDA2,1062.1902524047673
APRAUR,1062.1902524047673
HSTPT,6639.737836795061
CTECOAI7_b,90104.45578758193
ACOAD7f_b,202118.2690121796
PRAMPC,22112.24188894819
IMPD,3940.2094140113345
PGAMT_b,9649.364257407069
DAPDC,133422.35469841614
IGPDH,6436.894932989795
AMPMS2,17.072847117002546
IPDPS,1016.8274960054483
FACOAE160,72568.78593030127
GRTT,186.87015850501356
PNTK,702.5502964831426
UAMAS,17295.708819409952
ARGSS,4272.8578732094265
UGMDDS,16040.843294428238
PPC,49129.251031018815
BPNT,44181.97233751638
LPADSS,5594.259844810186
NADS1,134.45276912855127
IMPC_b,5918.439605556719
PSD160,9156.973982797233
PSD161,10792.814133922198
TPI_b,2635.6460913155397
GF6PTA,4842.682507327896
