condition,corrcoef
GLC_CHEM_mu=0.35_S,0.7791746188531953
GLC_BATCH_mu=0.58_S,0.8188006215064596
MAN_BATCH_mu=0.47_S,0.8278618945066027
GAM_BATCH_mu=0.46_S,0.8326091581145154
GLC+SALTS_BATCH_mu=0.55_S,0.8166965381723958
GLC_CHEM_mu=0.31_P,0.576072536615883
GLC_CHEM_mu=0.41_P,0.8201958540084681
ACE_BATCH_mu=0.3_S,0.7595501597373626
GLC_CHEM_mu=0.20_S,0.7903835259474271
GLC_CHEM_mu=0.22_P,0.8523746609054075
GLC_CHEM_mu=0.12_S,0.868818953146282
GLC_CHEM_mu=0.36_P,0.7564388143412352
GLC_CHEM_mu=0.11_V,0.5327398022366503
GLC_CHEM_mu=0.51_P,0.9929922057520191
GLC_CHEM_mu=0.26_P,0.8414351433606859
GLC_CHEM_mu=0.50_S,0.8282511984790495
GLC@42deg_BATCH_mu=0.66_S,0.8209122311876352
GLC_CHEM_mu=0.46_P,0.8163036058904657
FUM_BATCH_mu=0.42_S,0.8354963088563149
GLC@pH6_BATCH_mu=0.63_S,0.8199605536450858
GLC_CHEM_mu=0.40_V,0.8284446185984804
FRU_BATCH_mu=0.65_S,0.832609077820838
PYR_BATCH_mu=0.40_S,0.8333770788695394
GLC_CHEM_mu=0.21_P,0.5772906483413391
GAL_BATCH_mu=0.26_S,0.5795937867541097
GLC_CHEM_mu=0.49_V,0.8254448132813141
GLC_CHEM_mu=0.31_V,0.49136964823198787
SUCC_BATCH_mu=0.44_S,0.8357016998445798
GLC_CHEM_mu=0.21_V,0.8472397435277258
GLYC_BATCH_mu=0.47_S,0.8243347483094032
